 Results for nuse,nreal,run,beta,isign
          16           8         180   2.00000000000000                1
  
 warm,mcskip,meas,ntr,run
          80           4         643        4000         180
  
 tprime,ed,U,beta,sus
    0.000  0.4136   1.500   2.000    1.000
  
  
    tau      Gtau(n)          +/-       curt  skew  prob
 Real Greens function ReGw
    8    16   0.4205861E-12   0.1848691E-12
    9     9   0.3392197E-06   0.3198257E-07
    9    10   0.8721106E-08   0.2986906E-08
    9    11   0.1598910E-08   0.1122203E-08
    9    12   0.1257520E-08   0.5381724E-09
    9    13   0.6465295E-09   0.3037673E-09
    9    14   0.6760066E-10   0.2090983E-09
    9    15  -0.1636420E-11   0.1592501E-09
    9    16   0.2712653E-10   0.1238016E-09
   10    10   0.4498607E-08   0.5051667E-09
   10    11   0.1400296E-09   0.1275033E-09
   10    12   0.7060067E-10   0.6610680E-10
   10    13   0.1410694E-10   0.4143042E-10
   10    14   0.3308304E-10   0.2813024E-10
   10    15  -0.1017904E-10   0.1804698E-10
   10    16  -0.5640783E-11   0.1293506E-10
   11    11   0.6553910E-09   0.6746152E-10
   11    12   0.5597391E-10   0.2568694E-10
   11    13   0.2626705E-10   0.1306538E-10
   11    14  -0.3142426E-11   0.9351746E-11
   11    15  -0.7881066E-11   0.6932013E-11
   11    16  -0.3715057E-11   0.5095217E-11
   12    12   0.1493184E-09   0.1462304E-10
   12    13   0.7126061E-11   0.7459489E-11
   12    14   0.6466526E-11   0.4583749E-11
   12    15   0.2494330E-11   0.2921965E-11
   12    16  -0.4788809E-12   0.2341685E-11
   13    13   0.5388539E-10   0.5168063E-11
   13    14   0.3990107E-11   0.3254275E-11
   13    15  -0.1356035E-11   0.1717514E-11
   13    16  -0.2507832E-11   0.1575398E-11
   14    14   0.2465179E-10   0.2885296E-11
   14    15   0.1777538E-11   0.1246623E-11
   14    16  -0.1823094E-11   0.9219935E-12
   15    15   0.1227342E-10   0.1349705E-11
   15    16   0.2879832E-12   0.7274010E-12
   16    16   0.7902170E-11   0.7498165E-12
