           1  4.472019675021360E-005
           2  1.003903193121918E-005
           3  4.974496138251580E-006
           4  1.961283138807801E-006
           5  1.393812592528469E-006
           6  8.392712971402189E-007
           7  5.313563663600600E-007
           8  3.776131740419266E-007
           9  3.577611636468393E-007
          10  2.580597449747245E-007
          11  2.096243391266058E-007
          12  1.597027202268082E-007
          13  9.934532791914346E-008
          14  5.746131503181844E-008
          15  4.321124625284292E-008
          16  3.229397776268105E-008
