250  0.124e-2   0.328e-2
500  0.849e-3   0.22e-2
1000  0.616e-3  0.165e-2
2000  0.434e-3  0.117e-2
4000  0.304e-3  0.846e-3
8000  0.215e-3  0.601e-3
16000  0.152e-3  0.425e-3
32000  0.108e-3  0.304e-3
64000  0.761e-4  0.214e-3

