 Results for ntg,nwn,filling,cluster,ntot,ndim,inhgrid,chcrt0
       20000         800  0.849906061910793      16B         200           2
           0  0.244367952437218     
 ed,u,beta,iter,run,meas,tprime,tperp
  0.393699895375276        1.50000000000000        2.00000000000000     
           1       80000           1  0.000000000000000E+000
  0.000000000000000E+000
 nfocc=     <Sign>     skip
  0.424953030955396        1.00000000000000                4
 Vmax ,nuse, alpha, vblmax
         100           8  0.510000000000000                4
           mu**2            T*chi_ii(T)
  0.000000000000000E+000  0.000000000000000E+000
 iter            1  of            1
   configuration  v_tau,v_site, v_s  
   1.00000000000000               17
   7504.00000000000                7           1
   2593.00000000000               12          -1
   15794.0000000000               12          -1
   15325.0000000000               12          -1
   13447.0000000000                4          -1
   13213.0000000000                5          -1
   15427.0000000000                1           1
   6848.00000000000                2           1
   14630.0000000000               15          -1
   15460.0000000000                4          -1
   10596.0000000000                9           1
   11304.0000000000                7           1
   14695.0000000000                2           1
   17750.0000000000               14          -1
   6023.00000000000                9           1
   2276.00000000000               14          -1
   11715.0000000000                2           1
 n   ic  sigma(n,ic)  sigmapt(n,ic)  GcKfsc(n,ic)  iwn(n)   quadw(n)
   30    1  (-0.112603E+00,-0.573749E-02) (-0.112559E+00,-0.528711E-02) (-0.428808E-04,-0.104361E-01)     95.818576      1.000000
   31    1  (-0.112601E+00,-0.555539E-02) (-0.112557E+00,-0.511931E-02) (-0.402016E-04,-0.101048E-01)     98.960169      1.000000
   32    1  (-0.112599E+00,-0.538450E-02) (-0.112556E+00,-0.496184E-02) (-0.377658E-04,-0.979392E-02)    102.101761      1.000000
   33    1  (-0.112597E+00,-0.522380E-02) (-0.112554E+00,-0.481376E-02) (-0.355448E-04,-0.950158E-02)    105.243354      1.000000
   34    1  (-0.112596E+00,-0.507241E-02) (-0.112553E+00,-0.467426E-02) (-0.335142E-04,-0.922618E-02)    108.384947      1.000000
   35    1  (-0.112594E+00,-0.492956E-02) (-0.112551E+00,-0.454262E-02) (-0.316527E-04,-0.896630E-02)    111.526539      1.000000
   36    1  (-0.112593E+00,-0.479452E-02) (-0.112550E+00,-0.441819E-02) (-0.299421E-04,-0.872066E-02)    114.668132      1.000000
   37    1  (-0.112592E+00,-0.466669E-02) (-0.112549E+00,-0.430039E-02) (-0.283666E-04,-0.848811E-02)    117.809725      1.000000
   38    1  (-0.112591E+00,-0.454550E-02) (-0.112548E+00,-0.418871E-02) (-0.269122E-04,-0.826765E-02)    120.951317      1.000000
   39    1  (-0.112590E+00,-0.443044E-02) (-0.112547E+00,-0.408269E-02) (-0.255668E-04,-0.805835E-02)    124.092910      1.000000
   40    1  (-0.112589E+00,-0.432106E-02) (-0.112546E+00,-0.398189E-02) (-0.243199E-04,-0.785938E-02)    127.234502      1.000000
   41    1  (-0.112588E+00,-0.421696E-02) (-0.112546E+00,-0.388596E-02) (-0.231620E-04,-0.767001E-02)    130.376095      1.000000
   42    1  (-0.112587E+00,-0.411775E-02) (-0.112545E+00,-0.379454E-02) (-0.220848E-04,-0.748954E-02)    133.517688      1.000000
   43    1  (-0.112586E+00,-0.402310E-02) (-0.112544E+00,-0.370732E-02) (-0.210811E-04,-0.731737E-02)    136.659280      1.000000
   44    1  (-0.112586E+00,-0.393270E-02) (-0.112544E+00,-0.362402E-02) (-0.201443E-04,-0.715294E-02)    139.800873      1.000000
   45    1  (-0.112585E+00,-0.384628E-02) (-0.112543E+00,-0.354438E-02) (-0.192686E-04,-0.699574E-02)    142.942466      1.000000
   46    1  (-0.112584E+00,-0.376357E-02) (-0.112542E+00,-0.346817E-02) (-0.184488E-04,-0.684529E-02)    146.084058      1.000000
   47    1  (-0.112584E+00,-0.368435E-02) (-0.112542E+00,-0.339516E-02) (-0.176802E-04,-0.670119E-02)    149.225651      1.000000
