 Results for ntg,nwn,filling,cluster,ntot,ndim,inhgrid,chcrt0
       20000         800  0.849906061910793      16B         200           2
           0  0.244367952437218     
 ed,u,beta,iter,run,meas,tprime,tperp
  0.393699895375276        1.50000000000000        2.00000000000000     
           1       80000           1  0.000000000000000E+000
  0.000000000000000E+000
 nfocc=     <Sign>     skip
  0.424953030955396        1.00000000000000                4
 Vmax ,nuse, alpha, vblmax
         100           8  0.510000000000000                4
           mu**2            T*chi_ii(T)
  0.000000000000000E+000  0.000000000000000E+000
 iter            1  of            1
   configuration  v_tau,v_site, v_s  
   1.00000000000000               17
   7504.00000000000                7           1
   2593.00000000000               12          -1
   15794.0000000000               12          -1
   15325.0000000000               12          -1
   13447.0000000000                4          -1
   13213.0000000000                5          -1
   15427.0000000000                1           1
   6848.00000000000                2           1
   14630.0000000000               15          -1
   15460.0000000000                4          -1
   10596.0000000000                9           1
   11304.0000000000                7           1
   14695.0000000000                2           1
   17750.0000000000               14          -1
   6023.00000000000                9           1
   2276.00000000000               14          -1
   11715.0000000000                2           1
 n   ic  sigma(n,ic)  sigmapt(n,ic)  GcKfsc(n,ic)  iwn(n)   quadw(n)
  352    2  (-0.112571E+00,-0.496498E-03) (-0.112530E+00,-0.457585E-03) ( 0.460290E-07,-0.903007E-03)   1107.411410      1.000000
  353    2  (-0.112571E+00,-0.495093E-03) (-0.112530E+00,-0.456291E-03) ( 0.457690E-07,-0.900452E-03)   1110.553003      1.000000
  354    2  (-0.112571E+00,-0.493697E-03) (-0.112530E+00,-0.455005E-03) ( 0.455111E-07,-0.897912E-03)   1113.694596      1.000000
  355    2  (-0.112571E+00,-0.492308E-03) (-0.112530E+00,-0.453726E-03) ( 0.452554E-07,-0.895386E-03)   1116.836188      1.000000
  356    2  (-0.112571E+00,-0.490927E-03) (-0.112530E+00,-0.452454E-03) ( 0.450019E-07,-0.892875E-03)   1119.977781      1.000000
  357    2  (-0.112571E+00,-0.489554E-03) (-0.112530E+00,-0.451189E-03) ( 0.447505E-07,-0.890377E-03)   1123.119374      1.000000
  358    2  (-0.112571E+00,-0.488188E-03) (-0.112530E+00,-0.449932E-03) ( 0.445012E-07,-0.887894E-03)   1126.260966      1.000000
  359    2  (-0.112571E+00,-0.486830E-03) (-0.112530E+00,-0.448681E-03) ( 0.442540E-07,-0.885424E-03)   1129.402559      1.000000
  360    2  (-0.112571E+00,-0.485480E-03) (-0.112530E+00,-0.447437E-03) ( 0.440088E-07,-0.882968E-03)   1132.544152      1.000000
  361    2  (-0.112571E+00,-0.484137E-03) (-0.112530E+00,-0.446201E-03) ( 0.437657E-07,-0.880525E-03)   1135.685744      1.000000
  362    2  (-0.112571E+00,-0.482801E-03) (-0.112530E+00,-0.444971E-03) ( 0.435245E-07,-0.878096E-03)   1138.827337      1.000000
  363    2  (-0.112571E+00,-0.481473E-03) (-0.112530E+00,-0.443748E-03) ( 0.432854E-07,-0.875681E-03)   1141.968930      1.000000
  364    2  (-0.112571E+00,-0.480152E-03) (-0.112530E+00,-0.442531E-03) ( 0.430482E-07,-0.873278E-03)   1145.110522      1.000000
  365    2  (-0.112571E+00,-0.478839E-03) (-0.112530E+00,-0.441322E-03) ( 0.428130E-07,-0.870889E-03)   1148.252115      1.000000
  366    2  (-0.112571E+00,-0.477532E-03) (-0.112530E+00,-0.440119E-03) ( 0.425797E-07,-0.868513E-03)   1151.393708      1.000000
  367    2  (-0.112571E+00,-0.476233E-03) (-0.112530E+00,-0.438922E-03) ( 0.423482E-07,-0.866149E-03)   1154.535300      1.000000
  368    2  (-0.112571E+00,-0.474940E-03) (-0.112530E+00,-0.437732E-03) ( 0.421187E-07,-0.863799E-03)   1157.676893      1.000000
  369    2  (-0.112571E+00,-0.473655E-03) (-0.112530E+00,-0.436549E-03) ( 0.418910E-07,-0.861461E-03)   1160.818486      1.000000
  370    2  (-0.112571E+00,-0.472377E-03) (-0.112530E+00,-0.435372E-03) ( 0.416652E-07,-0.859136E-03)   1163.960078      1.000000
  371    2  (-0.112571E+00,-0.471105E-03) (-0.112530E+00,-0.434201E-03) ( 0.414412E-07,-0.856823E-03)   1167.101671      1.000000
  372    2  (-0.112571E+00,-0.469840E-03) (-0.112530E+00,-0.433037E-03) ( 0.412190E-07,-0.854523E-03)   1170.243263      1.000000
  373    2  (-0.112571E+00,-0.468582E-03) (-0.112530E+00,-0.431879E-03) ( 0.409986E-07,-0.852235E-03)   1173.384856      1.000000
  374    2  (-0.112571E+00,-0.467331E-03) (-0.112530E+00,-0.430727E-03) ( 0.407799E-07,-0.849960E-03)   1176.526449      1.000000
  375    2  (-0.112571E+00,-0.466087E-03) (-0.112530E+00,-0.429582E-03) ( 0.405630E-07,-0.847696E-03)   1179.668041      1.000000
  376    2  (-0.112571E+00,-0.464849E-03) (-0.112530E+00,-0.428442E-03) ( 0.403478E-07,-0.845445E-03)   1182.809634      1.000000
  377    2  (-0.112571E+00,-0.463617E-03) (-0.112530E+00,-0.427309E-03) ( 0.401343E-07,-0.843205E-03)   1185.951227      1.000000
  378    2  (-0.112571E+00,-0.462392E-03) (-0.112530E+00,-0.426182E-03) ( 0.399226E-07,-0.840977E-03)   1189.092819      1.000000
  379    2  (-0.112571E+00,-0.461174E-03) (-0.112530E+00,-0.425061E-03) ( 0.397124E-07,-0.838761E-03)   1192.234412      1.000000
  380    2  (-0.112571E+00,-0.459962E-03) (-0.112530E+00,-0.423946E-03) ( 0.395040E-07,-0.836557E-03)   1195.376005      1.000000
  381    2  (-0.112571E+00,-0.458756E-03) (-0.112530E+00,-0.422836E-03) ( 0.392971E-07,-0.834364E-03)   1198.517597      1.000000
  382    2  (-0.112571E+00,-0.457557E-03) (-0.112530E+00,-0.421733E-03) ( 0.390919E-07,-0.832183E-03)   1201.659190      1.000000
  383    2  (-0.112571E+00,-0.456364E-03) (-0.112530E+00,-0.420636E-03) ( 0.388883E-07,-0.830013E-03)   1204.800783      1.000000
  384    2  (-0.112571E+00,-0.455177E-03) (-0.112530E+00,-0.419544E-03) ( 0.386863E-07,-0.827854E-03)   1207.942375      1.000000
  385    2  (-0.112571E+00,-0.453996E-03) (-0.112530E+00,-0.418458E-03) ( 0.384859E-07,-0.825707E-03)   1211.083968      1.000000
  386    2  (-0.112571E+00,-0.452821E-03) (-0.112530E+00,-0.417378E-03) ( 0.382870E-07,-0.823570E-03)   1214.225561      1.000000
  387    2  (-0.112571E+00,-0.451653E-03) (-0.112530E+00,-0.416304E-03) ( 0.380896E-07,-0.821445E-03)   1217.367153      1.000000
  388    2  (-0.112571E+00,-0.450490E-03) (-0.112530E+00,-0.415236E-03) ( 0.378938E-07,-0.819330E-03)   1220.508746      1.000000
  389    2  (-0.112571E+00,-0.449334E-03) (-0.112530E+00,-0.414174E-03) ( 0.376995E-07,-0.817227E-03)   1223.650339      1.000000
  390    2  (-0.112571E+00,-0.448183E-03) (-0.112530E+00,-0.413117E-03) ( 0.375066E-07,-0.815134E-03)   1226.791931      1.000000
  391    2  (-0.112571E+00,-0.447038E-03) (-0.112530E+00,-0.412066E-03) ( 0.373153E-07,-0.813052E-03)   1229.933524      1.000000
  392    2  (-0.112571E+00,-0.445899E-03) (-0.112530E+00,-0.411021E-03) ( 0.371254E-07,-0.810981E-03)   1233.075117      1.000000
  393    2  (-0.112571E+00,-0.444766E-03) (-0.112530E+00,-0.409982E-03) ( 0.369369E-07,-0.808920E-03)   1236.216709      1.000000
  394    2  (-0.112571E+00,-0.443639E-03) (-0.112530E+00,-0.408949E-03) ( 0.367499E-07,-0.806869E-03)   1239.358302      1.000000
  395    2  (-0.112571E+00,-0.442517E-03) (-0.112530E+00,-0.407923E-03) ( 0.365643E-07,-0.804829E-03)   1242.499894      1.000000
  396    2  (-0.112571E+00,-0.441401E-03) (-0.112530E+00,-0.406903E-03) ( 0.363801E-07,-0.802799E-03)   1245.641487      1.000000
  397    2  (-0.112571E+00,-0.440291E-03) (-0.112530E+00,-0.405891E-03) ( 0.361973E-07,-0.800780E-03)   1248.783080      1.000000
  398    2  (-0.112571E+00,-0.439186E-03) (-0.112530E+00,-0.404890E-03) ( 0.360158E-07,-0.798770E-03)   1251.924672      1.000000
  399    2  (-0.112571E+00,-0.438086E-03) (-0.112530E+00,-0.403904E-03) ( 0.358358E-07,-0.796771E-03)   1255.066265      1.000000
  400    2  (-0.112571E+00,-0.436993E-03) (-0.112530E+00,-0.402895E-03) ( 0.356570E-07,-0.794781E-03)   1258.207858      1.000000
  401    2  (-0.112571E+00,-0.435904E-03) (-0.112530E+00,-0.401845E-03) ( 0.354796E-07,-0.792802E-03)   1261.349450      1.000000
  402    2  (-0.112571E+00,-0.434821E-03) (-0.112530E+00,-0.400824E-03) ( 0.353035E-07,-0.790832E-03)   1264.491043      1.000000
  403    2  (-0.112571E+00,-0.433744E-03) (-0.112530E+00,-0.399816E-03) ( 0.351288E-07,-0.788872E-03)   1267.632636      1.000000
  404    2  (-0.112571E+00,-0.432671E-03) (-0.112530E+00,-0.398816E-03) ( 0.349553E-07,-0.786922E-03)   1270.774228      1.000000
  405    2  (-0.112571E+00,-0.431604E-03) (-0.112530E+00,-0.397823E-03) ( 0.347831E-07,-0.784981E-03)   1273.915821      1.000000
  406    2  (-0.112571E+00,-0.430543E-03) (-0.112530E+00,-0.396837E-03) ( 0.346122E-07,-0.783050E-03)   1277.057414      1.000000
  407    2  (-0.112571E+00,-0.429486E-03) (-0.112530E+00,-0.395856E-03) ( 0.344425E-07,-0.781129E-03)   1280.199006      1.000000
  408    2  (-0.112571E+00,-0.428435E-03) (-0.112530E+00,-0.394882E-03) ( 0.342741E-07,-0.779216E-03)   1283.340599      1.000000
  409    2  (-0.112571E+00,-0.427388E-03) (-0.112530E+00,-0.393912E-03) ( 0.341069E-07,-0.777313E-03)   1286.482192      1.000000
  410    2  (-0.112571E+00,-0.426347E-03) (-0.112530E+00,-0.392948E-03) ( 0.339409E-07,-0.775420E-03)   1289.623784      1.000000
  411    2  (-0.112571E+00,-0.425311E-03) (-0.112530E+00,-0.391989E-03) ( 0.337762E-07,-0.773536E-03)   1292.765377      1.000000
  412    2  (-0.112571E+00,-0.424280E-03) (-0.112530E+00,-0.391034E-03) ( 0.336126E-07,-0.771660E-03)   1295.906970      1.000000
  413    2  (-0.112571E+00,-0.423254E-03) (-0.112530E+00,-0.390085E-03) ( 0.334502E-07,-0.769794E-03)   1299.048562      1.000000
  414    2  (-0.112571E+00,-0.422233E-03) (-0.112530E+00,-0.389140E-03) ( 0.332890E-07,-0.767937E-03)   1302.190155      1.000000
  415    2  (-0.112571E+00,-0.421217E-03) (-0.112530E+00,-0.388201E-03) ( 0.331290E-07,-0.766089E-03)   1305.331748      1.000000
  416    2  (-0.112571E+00,-0.420205E-03) (-0.112530E+00,-0.387266E-03) ( 0.329701E-07,-0.764249E-03)   1308.473340      1.000000
  417    2  (-0.112571E+00,-0.419199E-03) (-0.112530E+00,-0.386335E-03) ( 0.328123E-07,-0.762419E-03)   1311.614933      1.000000
  418    2  (-0.112571E+00,-0.418197E-03) (-0.112530E+00,-0.385409E-03) ( 0.326557E-07,-0.760597E-03)   1314.756526      1.000000
  419    2  (-0.112571E+00,-0.417200E-03) (-0.112530E+00,-0.384488E-03) ( 0.325002E-07,-0.758784E-03)   1317.898118      1.000000
  420    2  (-0.112571E+00,-0.416208E-03) (-0.112530E+00,-0.383571E-03) ( 0.323458E-07,-0.756980E-03)   1321.039711      1.000000
  421    2  (-0.112571E+00,-0.415221E-03) (-0.112530E+00,-0.382659E-03) ( 0.321925E-07,-0.755184E-03)   1324.181303      1.000000
  422    2  (-0.112571E+00,-0.414238E-03) (-0.112530E+00,-0.381751E-03) ( 0.320403E-07,-0.753396E-03)   1327.322896      1.000000
  423    2  (-0.112571E+00,-0.413260E-03) (-0.112530E+00,-0.380847E-03) ( 0.318892E-07,-0.751617E-03)   1330.464489      1.000000
  424    2  (-0.112571E+00,-0.412286E-03) (-0.112530E+00,-0.379948E-03) ( 0.317391E-07,-0.749847E-03)   1333.606081      1.000000
  425    2  (-0.112571E+00,-0.411317E-03) (-0.112530E+00,-0.379053E-03) ( 0.315901E-07,-0.748084E-03)   1336.747674      1.000000
  426    2  (-0.112571E+00,-0.410353E-03) (-0.112530E+00,-0.378162E-03) ( 0.314421E-07,-0.746330E-03)   1339.889267      1.000000
  427    2  (-0.112571E+00,-0.409393E-03) (-0.112530E+00,-0.377276E-03) ( 0.312952E-07,-0.744584E-03)   1343.030859      1.000000
  428    2  (-0.112571E+00,-0.408438E-03) (-0.112530E+00,-0.376393E-03) ( 0.311493E-07,-0.742847E-03)   1346.172452      1.000000
  429    2  (-0.112571E+00,-0.407487E-03) (-0.112530E+00,-0.375515E-03) ( 0.310044E-07,-0.741117E-03)   1349.314045      1.000000
  430    2  (-0.112571E+00,-0.406540E-03) (-0.112530E+00,-0.374641E-03) ( 0.308606E-07,-0.739396E-03)   1352.455637      1.000000
  431    2  (-0.112571E+00,-0.405598E-03) (-0.112530E+00,-0.373771E-03) ( 0.307177E-07,-0.737682E-03)   1355.597230      1.000000
  432    2  (-0.112571E+00,-0.404660E-03) (-0.112530E+00,-0.372906E-03) ( 0.305758E-07,-0.735977E-03)   1358.738823      1.000000
  433    2  (-0.112571E+00,-0.403727E-03) (-0.112530E+00,-0.372044E-03) ( 0.304349E-07,-0.734279E-03)   1361.880415      1.000000
  434    2  (-0.112571E+00,-0.402798E-03) (-0.112530E+00,-0.371186E-03) ( 0.302950E-07,-0.732589E-03)   1365.022008      1.000000
  435    2  (-0.112571E+00,-0.401873E-03) (-0.112530E+00,-0.370332E-03) ( 0.301560E-07,-0.730907E-03)   1368.163601      1.000000
  436    2  (-0.112571E+00,-0.400952E-03) (-0.112530E+00,-0.369482E-03) ( 0.300180E-07,-0.729232E-03)   1371.305193      1.000000
  437    2  (-0.112571E+00,-0.400036E-03) (-0.112530E+00,-0.368636E-03) ( 0.298809E-07,-0.727565E-03)   1374.446786      1.000000
  438    2  (-0.112571E+00,-0.399123E-03) (-0.112530E+00,-0.367794E-03) ( 0.297448E-07,-0.725906E-03)   1377.588379      1.000000
  439    2  (-0.112571E+00,-0.398215E-03) (-0.112530E+00,-0.366956E-03) ( 0.296096E-07,-0.724255E-03)   1380.729971      1.000000
  440    2  (-0.112571E+00,-0.397311E-03) (-0.112530E+00,-0.366122E-03) ( 0.294753E-07,-0.722610E-03)   1383.871564      1.000000
  441    2  (-0.112571E+00,-0.396411E-03) (-0.112530E+00,-0.365291E-03) ( 0.293419E-07,-0.720974E-03)   1387.013157      1.000000
  442    2  (-0.112571E+00,-0.395515E-03) (-0.112530E+00,-0.364464E-03) ( 0.292095E-07,-0.719344E-03)   1390.154749      1.000000
  443    2  (-0.112571E+00,-0.394624E-03) (-0.112530E+00,-0.363641E-03) ( 0.290779E-07,-0.717722E-03)   1393.296342      1.000000
  444    2  (-0.112571E+00,-0.393736E-03) (-0.112530E+00,-0.362822E-03) ( 0.289472E-07,-0.716108E-03)   1396.437935      1.000000
  445    2  (-0.112571E+00,-0.392852E-03) (-0.112530E+00,-0.362006E-03) ( 0.288174E-07,-0.714500E-03)   1399.579527      1.000000
  446    2  (-0.112571E+00,-0.391972E-03) (-0.112530E+00,-0.361195E-03) ( 0.286885E-07,-0.712900E-03)   1402.721120      1.000000
  447    2  (-0.112571E+00,-0.391096E-03) (-0.112530E+00,-0.360386E-03) ( 0.285604E-07,-0.711307E-03)   1405.862712      1.000000
  448    2  (-0.112571E+00,-0.390224E-03) (-0.112530E+00,-0.359582E-03) ( 0.284332E-07,-0.709721E-03)   1409.004305      1.000000
  449    2  (-0.112571E+00,-0.389356E-03) (-0.112530E+00,-0.358780E-03) ( 0.283068E-07,-0.708142E-03)   1412.145898      1.000000
  450    2  (-0.112571E+00,-0.388492E-03) (-0.112530E+00,-0.357983E-03) ( 0.281813E-07,-0.706570E-03)   1415.287490      1.000000
  451    2  (-0.112571E+00,-0.387631E-03) (-0.112530E+00,-0.357189E-03) ( 0.280566E-07,-0.705005E-03)   1418.429083      1.000000
  452    2  (-0.112571E+00,-0.386775E-03) (-0.112530E+00,-0.356399E-03) ( 0.279327E-07,-0.703447E-03)   1421.570676      1.000000
  453    2  (-0.112571E+00,-0.385922E-03) (-0.112530E+00,-0.355612E-03) ( 0.278096E-07,-0.701896E-03)   1424.712268      1.000000
  454    2  (-0.112571E+00,-0.385073E-03) (-0.112530E+00,-0.354828E-03) ( 0.276874E-07,-0.700352E-03)   1427.853861      1.000000
  455    2  (-0.112571E+00,-0.384227E-03) (-0.112530E+00,-0.354048E-03) ( 0.275660E-07,-0.698814E-03)   1430.995454      1.000000
  456    2  (-0.112571E+00,-0.383386E-03) (-0.112530E+00,-0.353272E-03) ( 0.274453E-07,-0.697283E-03)   1434.137046      1.000000
  457    2  (-0.112571E+00,-0.382548E-03) (-0.112530E+00,-0.352499E-03) ( 0.273255E-07,-0.695759E-03)   1437.278639      1.000000
  458    2  (-0.112571E+00,-0.381713E-03) (-0.112530E+00,-0.351729E-03) ( 0.272064E-07,-0.694242E-03)   1440.420232      1.000000
  459    2  (-0.112571E+00,-0.380883E-03) (-0.112530E+00,-0.350962E-03) ( 0.270881E-07,-0.692731E-03)   1443.561824      1.000000
  460    2  (-0.112571E+00,-0.380055E-03) (-0.112530E+00,-0.350199E-03) ( 0.269706E-07,-0.691227E-03)   1446.703417      1.000000
  461    2  (-0.112571E+00,-0.379232E-03) (-0.112530E+00,-0.349440E-03) ( 0.268539E-07,-0.689729E-03)   1449.845010      1.000000
  462    2  (-0.112571E+00,-0.378412E-03) (-0.112530E+00,-0.348683E-03) ( 0.267379E-07,-0.688238E-03)   1452.986602      1.000000
  463    2  (-0.112571E+00,-0.377596E-03) (-0.112530E+00,-0.347930E-03) ( 0.266226E-07,-0.686753E-03)   1456.128195      1.000000
  464    2  (-0.112571E+00,-0.376783E-03) (-0.112530E+00,-0.347180E-03) ( 0.265081E-07,-0.685274E-03)   1459.269788      1.000000
  465    2  (-0.112571E+00,-0.375973E-03) (-0.112530E+00,-0.346433E-03) ( 0.263943E-07,-0.683802E-03)   1462.411380      1.000000
  466    2  (-0.112571E+00,-0.375167E-03) (-0.112530E+00,-0.345690E-03) ( 0.262813E-07,-0.682336E-03)   1465.552973      1.000000
  467    2  (-0.112571E+00,-0.374365E-03) (-0.112530E+00,-0.344949E-03) ( 0.261690E-07,-0.680877E-03)   1468.694566      1.000000
  468    2  (-0.112571E+00,-0.373566E-03) (-0.112530E+00,-0.344212E-03) ( 0.260574E-07,-0.679423E-03)   1471.836158      1.000000
  469    2  (-0.112571E+00,-0.372770E-03) (-0.112530E+00,-0.343478E-03) ( 0.259465E-07,-0.677976E-03)   1474.977751      1.000000
  470    2  (-0.112571E+00,-0.371978E-03) (-0.112530E+00,-0.342747E-03) ( 0.258363E-07,-0.676535E-03)   1478.119344      1.000000
  471    2  (-0.112571E+00,-0.371189E-03) (-0.112530E+00,-0.342020E-03) ( 0.257269E-07,-0.675100E-03)   1481.260936      1.000000
  472    2  (-0.112571E+00,-0.370403E-03) (-0.112530E+00,-0.341295E-03) ( 0.256181E-07,-0.673672E-03)   1484.402529      1.000000
  473    2  (-0.112571E+00,-0.369621E-03) (-0.112530E+00,-0.340573E-03) ( 0.255100E-07,-0.672249E-03)   1487.544121      1.000000
  474    2  (-0.112571E+00,-0.368842E-03) (-0.112530E+00,-0.339855E-03) ( 0.254026E-07,-0.670832E-03)   1490.685714      1.000000
  475    2  (-0.112571E+00,-0.368066E-03) (-0.112530E+00,-0.339139E-03) ( 0.252958E-07,-0.669421E-03)   1493.827307      1.000000
  476    2  (-0.112571E+00,-0.367294E-03) (-0.112530E+00,-0.338427E-03) ( 0.251898E-07,-0.668017E-03)   1496.968899      1.000000
  477    2  (-0.112571E+00,-0.366525E-03) (-0.112530E+00,-0.337717E-03) ( 0.250844E-07,-0.666618E-03)   1500.110492      1.000000
  478    2  (-0.112571E+00,-0.365759E-03) (-0.112530E+00,-0.337011E-03) ( 0.249796E-07,-0.665224E-03)   1503.252085      1.000000
  479    2  (-0.112571E+00,-0.364996E-03) (-0.112530E+00,-0.336307E-03) ( 0.248756E-07,-0.663837E-03)   1506.393677      1.000000
  480    2  (-0.112571E+00,-0.364236E-03) (-0.112530E+00,-0.335606E-03) ( 0.247721E-07,-0.662456E-03)   1509.535270      1.000000
  481    2  (-0.112571E+00,-0.363480E-03) (-0.112530E+00,-0.334909E-03) ( 0.246693E-07,-0.661080E-03)   1512.676863      1.000000
  482    2  (-0.112571E+00,-0.362727E-03) (-0.112530E+00,-0.334214E-03) ( 0.245672E-07,-0.659710E-03)   1515.818455      1.000000
  483    2  (-0.112571E+00,-0.361976E-03) (-0.112530E+00,-0.333522E-03) ( 0.244657E-07,-0.658345E-03)   1518.960048      1.000000
  484    2  (-0.112571E+00,-0.361229E-03) (-0.112530E+00,-0.332833E-03) ( 0.243648E-07,-0.656986E-03)   1522.101641      1.000000
  485    2  (-0.112571E+00,-0.360485E-03) (-0.112530E+00,-0.332146E-03) ( 0.242645E-07,-0.655633E-03)   1525.243233      1.000000
  486    2  (-0.112571E+00,-0.359744E-03) (-0.112530E+00,-0.331463E-03) ( 0.241649E-07,-0.654285E-03)   1528.384826      1.000000
  487    2  (-0.112571E+00,-0.359006E-03) (-0.112530E+00,-0.330782E-03) ( 0.240658E-07,-0.652943E-03)   1531.526419      1.000000
  488    2  (-0.112571E+00,-0.358271E-03) (-0.112530E+00,-0.330105E-03) ( 0.239674E-07,-0.651607E-03)   1534.668011      1.000000
  489    2  (-0.112571E+00,-0.357539E-03) (-0.112530E+00,-0.329429E-03) ( 0.238696E-07,-0.650276E-03)   1537.809604      1.000000
  490    2  (-0.112571E+00,-0.356811E-03) (-0.112530E+00,-0.328757E-03) ( 0.237723E-07,-0.648950E-03)   1540.951197      1.000000
  491    2  (-0.112571E+00,-0.356085E-03) (-0.112530E+00,-0.328088E-03) ( 0.236757E-07,-0.647629E-03)   1544.092789      1.000000
  492    2  (-0.112571E+00,-0.355362E-03) (-0.112530E+00,-0.327421E-03) ( 0.235797E-07,-0.646314E-03)   1547.234382      1.000000
  493    2  (-0.112571E+00,-0.354641E-03) (-0.112530E+00,-0.326757E-03) ( 0.234842E-07,-0.645005E-03)   1550.375975      1.000000
  494    2  (-0.112571E+00,-0.353924E-03) (-0.112530E+00,-0.326095E-03) ( 0.233893E-07,-0.643700E-03)   1553.517567      1.000000
  495    2  (-0.112571E+00,-0.353210E-03) (-0.112530E+00,-0.325436E-03) ( 0.232950E-07,-0.642401E-03)   1556.659160      1.000000
  496    2  (-0.112571E+00,-0.352499E-03) (-0.112530E+00,-0.324780E-03) ( 0.232013E-07,-0.641108E-03)   1559.800753      1.000000
  497    2  (-0.112571E+00,-0.351790E-03) (-0.112530E+00,-0.324127E-03) ( 0.231081E-07,-0.639819E-03)   1562.942345      1.000000
  498    2  (-0.112571E+00,-0.351084E-03) (-0.112530E+00,-0.323476E-03) ( 0.230155E-07,-0.638535E-03)   1566.083938      1.000000
  499    2  (-0.112571E+00,-0.350382E-03) (-0.112530E+00,-0.322827E-03) ( 0.229234E-07,-0.637257E-03)   1569.225530      1.000000
  500    2  (-0.112571E+00,-0.349681E-03) (-0.112530E+00,-0.322182E-03) ( 0.228319E-07,-0.635984E-03)   1572.367123      1.000000
  501    2  (-0.112571E+00,-0.348984E-03) (-0.112530E+00,-0.321539E-03) ( 0.227409E-07,-0.634716E-03)   1575.508716      1.000000
  502    2  (-0.112571E+00,-0.348290E-03) (-0.112530E+00,-0.320898E-03) ( 0.226505E-07,-0.633452E-03)   1578.650308      1.000000
  503    2  (-0.112571E+00,-0.347598E-03) (-0.112530E+00,-0.320260E-03) ( 0.225606E-07,-0.632194E-03)   1581.791901      1.000000
  504    2  (-0.112571E+00,-0.346909E-03) (-0.112530E+00,-0.319625E-03) ( 0.224713E-07,-0.630941E-03)   1584.933494      1.000000
  505    2  (-0.112571E+00,-0.346223E-03) (-0.112530E+00,-0.318992E-03) ( 0.223825E-07,-0.629693E-03)   1588.075086      1.000000
  506    2  (-0.112571E+00,-0.345539E-03) (-0.112530E+00,-0.318361E-03) ( 0.222942E-07,-0.628450E-03)   1591.216679      1.000000
  507    2  (-0.112571E+00,-0.344858E-03) (-0.112530E+00,-0.317733E-03) ( 0.222064E-07,-0.627212E-03)   1594.358272      1.000000
  508    2  (-0.112571E+00,-0.344180E-03) (-0.112530E+00,-0.317108E-03) ( 0.221191E-07,-0.625978E-03)   1597.499864      1.000000
  509    2  (-0.112571E+00,-0.343505E-03) (-0.112530E+00,-0.316485E-03) ( 0.220324E-07,-0.624750E-03)   1600.641457      1.000000
  510    2  (-0.112571E+00,-0.342832E-03) (-0.112530E+00,-0.315864E-03) ( 0.219462E-07,-0.623526E-03)   1603.783050      1.000000
  511    2  (-0.112571E+00,-0.342161E-03) (-0.112530E+00,-0.315246E-03) ( 0.218604E-07,-0.622307E-03)   1606.924642      1.000000
  512    2  (-0.112571E+00,-0.341494E-03) (-0.112530E+00,-0.314630E-03) ( 0.217752E-07,-0.621092E-03)   1610.066235      1.000000
  513    2  (-0.112571E+00,-0.340829E-03) (-0.112530E+00,-0.314017E-03) ( 0.216905E-07,-0.619883E-03)   1613.207828      1.000000
  514    2  (-0.112571E+00,-0.340166E-03) (-0.112530E+00,-0.313406E-03) ( 0.216062E-07,-0.618678E-03)   1616.349420      1.000000
  515    2  (-0.112571E+00,-0.339506E-03) (-0.112530E+00,-0.312798E-03) ( 0.215225E-07,-0.617478E-03)   1619.491013      1.000000
  516    2  (-0.112571E+00,-0.338849E-03) (-0.112530E+00,-0.312191E-03) ( 0.214392E-07,-0.616282E-03)   1622.632606      1.000000
  517    2  (-0.112571E+00,-0.338194E-03) (-0.112530E+00,-0.311587E-03) ( 0.213565E-07,-0.615092E-03)   1625.774198      1.000000
  518    2  (-0.112571E+00,-0.337542E-03) (-0.112530E+00,-0.310986E-03) ( 0.212742E-07,-0.613905E-03)   1628.915791      1.000000
  519    2  (-0.112571E+00,-0.336892E-03) (-0.112530E+00,-0.310387E-03) ( 0.211923E-07,-0.612724E-03)   1632.057384      1.000000
  520    2  (-0.112571E+00,-0.336245E-03) (-0.112530E+00,-0.309790E-03) ( 0.211110E-07,-0.611546E-03)   1635.198976      1.000000
  521    2  (-0.112571E+00,-0.335600E-03) (-0.112530E+00,-0.309195E-03) ( 0.210301E-07,-0.610374E-03)   1638.340569      1.000000
  522    2  (-0.112571E+00,-0.334958E-03) (-0.112530E+00,-0.308603E-03) ( 0.209497E-07,-0.609206E-03)   1641.482162      1.000000
  523    2  (-0.112571E+00,-0.334318E-03) (-0.112530E+00,-0.308013E-03) ( 0.208697E-07,-0.608042E-03)   1644.623754      1.000000
  524    2  (-0.112571E+00,-0.333681E-03) (-0.112530E+00,-0.307425E-03) ( 0.207902E-07,-0.606883E-03)   1647.765347      1.000000
  525    2  (-0.112571E+00,-0.333046E-03) (-0.112530E+00,-0.306839E-03) ( 0.207112E-07,-0.605728E-03)   1650.906939      1.000000
  526    2  (-0.112571E+00,-0.332413E-03) (-0.112530E+00,-0.306256E-03) ( 0.206326E-07,-0.604577E-03)   1654.048532      1.000000
  527    2  (-0.112571E+00,-0.331783E-03) (-0.112530E+00,-0.305675E-03) ( 0.205544E-07,-0.603431E-03)   1657.190125      1.000000
  528    2  (-0.112571E+00,-0.331155E-03) (-0.112530E+00,-0.305096E-03) ( 0.204767E-07,-0.602289E-03)   1660.331717      1.000000
  529    2  (-0.112571E+00,-0.330530E-03) (-0.112530E+00,-0.304519E-03) ( 0.203994E-07,-0.601152E-03)   1663.473310      1.000000
